college,lat,long
http://dbpedia.org/resource/Mohammed_bin_Rashid_School_of_Government,25.2222,55.2892
http://dbpedia.org/resource/Mohanlal_Sukhadia_University,24.595,73.732
http://dbpedia.org/resource/Mohave_Community_College,36.981,-112.972
http://dbpedia.org/resource/Mohawk_College,43.2382,-79.8857
http://dbpedia.org/resource/Mohawk_Institute_Residential_School,43.1276,-80.2404
http://dbpedia.org/resource/Mohawk_Valley_Community_College,43.0775,-75.2175
http://dbpedia.org/resource/Mohi-ud-Din_Islamic_Medical_College,33.1087,73.7114
http://dbpedia.org/resource/Moholy-Nagy_University_of_Art_and_Design,47.5172,18.9897
http://dbpedia.org/resource/Mokpo_Catholic_University,34.8268,126.419
http://dbpedia.org/resource/Mokwon_University,36.3261,127.339
http://dbpedia.org/resource/Moldova_State_University,47.0185,28.8235
http://dbpedia.org/resource/Molloy_College,40.6858,-73.6264
http://dbpedia.org/resource/Monash_Institute_of_Medical_Research,-37.922,145.125
http://dbpedia.org/resource/Monash_South_Africa,-26.0833,27.8769
http://dbpedia.org/resource/Monash_University,-37.9083,145.138
http://dbpedia.org/resource/Monash_University_Malaysia,3.06441,101.601
http://dbpedia.org/resource/Monastir_Preparatory_Engineering_Institute,35.766,10.8035
http://dbpedia.org/resource/Moncton_Flight_College,46.1039,-64.6736
http://dbpedia.org/resource/Monfort_College_of_Business,40.4108,-104.692
http://dbpedia.org/resource/Mongolia_International_University,47.9138,106.974
http://dbpedia.org/resource/Mongolian_National_University_of_Medical_Sciences,47.9231,106.921
http://dbpedia.org/resource/Mongolian_State_University_of_Education,47.9183,106.924
http://dbpedia.org/resource/Mongolian_University_of_Life_Sciences,47.8866,106.909
http://dbpedia.org/resource/Mongolian_University_of_Science_and_Technology,48.5386,107.544
http://dbpedia.org/resource/Monmouth_College,40.9144,-90.637200000000007
http://dbpedia.org/resource/Monmouth_University,40.28,-74.006
http://dbpedia.org/resource/Monnaie_de_Paris,48.8566,2.33903
http://dbpedia.org/resource/Monno_Medical_College,23.8479,89.9533
http://dbpedia.org/resource/Monroe_College,40.864,-73.9004
http://dbpedia.org/resource/Monroe_Community_College,43.1019,-77.6144
http://dbpedia.org/resource/Montana_Museum_of_Art_&_Culture,46.8636,-113.985
http://dbpedia.org/resource/Montana_State_University,45.6683,-111.05
http://dbpedia.org/resource/Montana_State_University–Northern,48.5421,-109.689
http://dbpedia.org/resource/Montana_Technological_University,46.0122,-112.558
http://dbpedia.org/resource/Montcalm_Community_College,43.2532,-85.1001
http://dbpedia.org/resource/Montclair_State_University,40.8591,-74.1987
http://dbpedia.org/resource/Monte_Ahuja_College_of_Business,41.5022,-81.6794
http://dbpedia.org/resource/Monte_Melkonian_Military_College,40.7631,44.9297
"http://dbpedia.org/resource/Monterrey_Institute_of_Technology_and_Higher_Education,_Chihuahua",28.6744,-106.077
http://dbpedia.org/resource/Montesquieu_University,44.7978,-0.618056
http://dbpedia.org/resource/Montfort_Senior_Secondary_School,28.6869,77.169
http://dbpedia.org/resource/Montgomery_College,39.0982,-77.1591
http://dbpedia.org/resource/Montgomery_County_Community_College,40.1737,-75.2757
http://dbpedia.org/resource/Montgomery_Regional_Airport,32.3006,-86.3939
http://dbpedia.org/resource/Monticello_High_School_(Illinois),40.0193,-88.5723
http://dbpedia.org/resource/Montpellier_Business_School,43.6214,3.83361
http://dbpedia.org/resource/Montreat_College,35.6461,-82.2974
http://dbpedia.org/resource/Monywa_University_of_Economics,22.1324,95.1798
"http://dbpedia.org/resource/Moodlakatte_Institute_of_Technology,_Kundapura",13.6142,74.7325
http://dbpedia.org/resource/Moody_Bible_Institute,41.8973,-87.633
http://dbpedia.org/resource/Moore_Theological_College,-33.8915,151.188
http://dbpedia.org/resource/Moorfields_Eye_Hospital,51.5272,-0.09
http://dbpedia.org/resource/Moorpark_College,34.3,-118.835
http://dbpedia.org/resource/Moraine_Park_Technical_College,43.7853,-88.4179
http://dbpedia.org/resource/Moraine_Valley_Community_College,41.6931,-87.8378
http://dbpedia.org/resource/Morarji_Desai_National_Institute_of_Yoga,28.6258,77.2072
http://dbpedia.org/resource/Morava_Airport,43.818600000000004,20.5853
http://dbpedia.org/resource/Moravian_University,40.6302,-75.3817
http://dbpedia.org/resource/Moray_College,57.6454,-3.3162
http://dbpedia.org/resource/Moray_House_School_of_Education,55.9499,-3.17947
http://dbpedia.org/resource/Morayfield_State_High_School,-27.1083,152.954
http://dbpedia.org/resource/Morbi,22.82,70.83
http://dbpedia.org/resource/Mordovian_State_University,54.1872,45.1814
http://dbpedia.org/resource/Moreh_College,24.256,94.291
http://dbpedia.org/resource/Morehead_State_University,38.189,-83.431
http://dbpedia.org/resource/Morehouse_College,33.7467,-84.4153
http://dbpedia.org/resource/Morelia_Institute_of_Technology,19.7235,-101.186
http://dbpedia.org/resource/Moreno_Valley_College,33.8872,-117.203
http://dbpedia.org/resource/Morgan_State_University,39.344,-76.585
http://dbpedia.org/resource/Morgridge_College_of_Education,39.6788,-104.965
http://dbpedia.org/resource/Morioka_First_High_School,39.7134,141.142
http://dbpedia.org/resource/Morley_Senior_High_School,-31.8728,115.884
http://dbpedia.org/resource/Morning_Star_College,22.7658,88.3991
http://dbpedia.org/resource/Morning_Star_Home_Science_College,10.1762,76.3765
http://dbpedia.org/resource/Morningside_College_(Hong_Kong),22.419,114.21
http://dbpedia.org/resource/Morningside_University,42.4744,-96.3617
http://dbpedia.org/resource/Morris_Brown_College,33.7548,-84.4089
http://dbpedia.org/resource/Morris_College,33.9383,-80.3457
http://dbpedia.org/resource/Morristown_College,36.2211,-83.2928
http://dbpedia.org/resource/Morse_College,41.3126,-72.9305
http://dbpedia.org/resource/Mortara_Center_For_International_Studies,38.9066,-77.0705
http://dbpedia.org/resource/Morthland_College,37.8968,-88.9265
http://dbpedia.org/resource/Moscow_Aviation_Institute,55.808,37.503
http://dbpedia.org/resource/Moscow_Institute_of_Physics_and_Technology,55.9294,37.5214
http://dbpedia.org/resource/Moscow_School_of_Management_SKOLKOVO,55.6956,37.3906
http://dbpedia.org/resource/Moscow_State_Institute_of_International_Relations,55.6722,37.4869
http://dbpedia.org/resource/Moscow_State_Linguistic_University,55.7388,37.5949
http://dbpedia.org/resource/Moscow_State_Pedagogical_University,55.6583,37.4767
http://dbpedia.org/resource/Moscow_State_Technical_University_of_Civil_Aviation,55.8431,37.5064
http://dbpedia.org/resource/Moscow_State_University,55.7039,37.5286
"http://dbpedia.org/resource/Moscow_State_University,_Tashkent",41.3003,69.2811
http://dbpedia.org/resource/Moscow_State_University_of_Medicine_and_Dentistry,55.7764,37.6158
http://dbpedia.org/resource/Moscow_Theological_Academy,56.3115,38.1285
http://dbpedia.org/resource/Moscow_University_of_the_Ministry_of_Internal_Affairs_of_Russia,55.7717,37.6308
http://dbpedia.org/resource/Mosgiel,-45.875,170.349
http://dbpedia.org/resource/Moshi_Co-operative_University,-3.33667,37.3383
http://dbpedia.org/resource/Mosteiro_de_São_Bento_(São_Paulo),-23.5439,-46.6339
"http://dbpedia.org/resource/Mother's_Institute_of_Technology,_Bihta",25.552,84.8614
http://dbpedia.org/resource/Mother_Teresa_Women's_University,10.2688,77.4807
